Municipality,Year,No health insurance coverage,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999",Unemployed,No vehicles available,Less than 9th grade,"9th to 12th grade, no diploma",Child,Foreign born,"Speak English less than ""very well""",With a broadband Internet subscription,Average family size,Median age (years)
Bloomfield town,2020,0.13,0.08,0.03,0.12,0.04,0.01,0.09,0.06,0.32,0.11,0.07,0.80,3.08,34.90
Bloomfield village,2020,0.07,0.03,0.07,0.09,0.04,0.02,0.01,0.14,0.39,0.03,0.02,0.81,3.18,35.90
Burlington city,2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Darien town,2020,0.12,0.02,0.02,0.13,0.01,0.02,0.05,0.10,0.35,0.08,0.10,0.85,3.28,43.70
Darien village,2020,0.07,0.02,0.02,0.04,0.05,0.00,0.00,0.07,0.31,0.05,0.02,0.85,3.06,36.70
Delavan city,2020,0.11,0.09,0.04,0.09,0.03,0.07,0.07,0.08,0.25,0.10,0.09,0.88,2.85,37.70
Delavan town,2020,0.05,0.04,0.03,0.07,0.02,0.06,0.02,0.09,0.26,0.04,0.02,0.81,2.81,50.70
East Troy town,2020,0.03,0.06,0.01,0.04,0.01,0.05,0.00,0.04,0.28,0.02,0.00,0.89,3.20,44.70
East Troy village,2020,0.02,0.04,0.02,0.07,0.01,0.02,0.01,0.04,0.25,0.02,0.01,0.82,2.70,42.10
Elkhorn city,2020,0.08,0.02,0.08,0.09,0.02,0.05,0.02,0.10,0.29,0.07,0.05,0.81,3.07,38.20
Fontana-on-Geneva Lake village,2020,0.05,0.08,0.00,0.03,0.01,0.04,0.01,0.03,0.18,0.08,0.02,0.95,2.54,58.00
Geneva town,2020,0.09,0.03,0.02,0.03,0.01,0.01,0.03,0.02,0.26,0.08,0.06,0.85,2.89,44.40
Genoa City village,2020,0.06,0.03,0.01,0.06,0.03,0.03,0.02,0.07,0.33,0.07,0.08,0.91,3.17,33.70
La Grange town,2020,0.05,0.01,0.00,0.05,0.01,0.02,0.01,0.06,0.25,0.03,0.02,0.94,2.79,51.60
Lafayette town,2020,0.02,0.01,0.01,0.04,0.02,0.02,0.01,0.03,0.28,0.02,0.00,0.88,2.87,44.80
Lake Geneva city,2020,0.06,0.03,0.03,0.14,0.04,0.04,0.03,0.04,0.26,0.09,0.05,0.86,2.81,44.30
Linn town,2020,0.11,0.02,0.02,0.06,0.03,0.01,0.03,0.05,0.22,0.14,0.06,0.91,2.72,49.50
Lyons town,2020,0.01,0.00,0.01,0.05,0.03,0.03,0.00,0.03,0.27,0.00,0.00,0.83,2.95,47.70
Mukwonago village,2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,1.00,3.58,33.40
Richmond town,2020,0.04,0.03,0.03,0.05,0.02,0.00,0.02,0.03,0.28,0.05,0.01,0.75,2.97,47.60
Sharon town,2020,0.02,0.03,0.02,0.07,0.02,0.03,0.02,0.06,0.24,0.05,0.03,0.78,2.76,53.80
Sharon village,2020,0.11,0.06,0.02,0.07,0.02,0.03,0.06,0.16,0.35,0.16,0.11,0.90,3.29,35.00
Spring Prairie town,2020,0.05,0.03,0.03,0.05,0.00,0.00,0.02,0.03,0.25,0.02,0.00,0.89,2.90,46.20
Sugar Creek town,2020,0.05,0.01,0.01,0.01,0.02,0.01,0.00,0.05,0.21,0.01,0.00,0.82,2.68,53.20
Troy town,2020,0.04,0.02,0.03,0.04,0.01,0.03,0.00,0.06,0.26,0.01,0.00,0.87,3.23,46.70
Walworth town,2020,0.03,0.05,0.04,0.13,0.02,0.08,0.01,0.15,0.31,0.04,0.02,0.78,2.87,47.50
Walworth village,2020,0.07,0.08,0.02,0.11,0.02,0.05,0.06,0.06,0.32,0.12,0.08,0.83,3.19,41.80
Whitewater city,2020,0.07,0.15,0.07,0.12,0.03,0.06,0.02,0.04,0.18,0.05,0.02,0.77,2.95,22.00
Whitewater town,2020,0.09,0.01,0.01,0.02,0.02,0.04,0.02,0.05,0.24,0.06,0.03,0.86,2.70,51.40
Williams Bay village,2020,0.05,0.02,0.05,0.12,0.02,0.04,0.00,0.01,0.27,0.03,0.01,0.88,2.85,48.80
Bloomfield town,2019,0.12,0.04,0.05,0.10,0.03,0.01,0.05,0.07,0.33,0.10,0.06,0.88,3.07,38.90
Bloomfield village,2019,0.07,0.03,0.07,0.07,0.05,0.02,0.01,0.12,0.38,0.02,0.01,0.88,3.26,34.30
Burlington city,2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
