,Municipality,Year,Weighted Mean
0,Bloomfield town,2020,0.764181239309663
1,Whitewater city,2020,0.7094106901628263
2,Delavan city,2020,0.600214904441493
3,Darien town,2020,0.413875991569308
4,Walworth village,2020,0.3373252547037301
5,Sharon village,2020,0.3292455492611858
6,Lake Geneva city,2020,0.20018300928016
7,Bloomfield village,2020,0.1911865790422297
8,Elkhorn city,2020,0.1823754407224183
9,Walworth town,2020,0.0428614884738885
10,Linn town,2020,-0.0797650656163284
11,Williams Bay village,2020,-0.0880531385708272
12,Genoa City village,2020,-0.2167647596699153
13,Delavan town,2020,-0.2803717330254323
14,Geneva town,2020,-0.3388539585545363
15,Darien village,2020,-0.3544726933162034
16,Richmond town,2020,-0.5084353465617816
17,Sharon town,2020,-0.5098467266188043
18,Fontana-on-Geneva Lake village,2020,-0.5339243522631997
19,Whitewater town,2020,-0.559159489868412
20,East Troy village,2020,-0.5870769985044105
21,Spring Prairie town,2020,-0.6159720832630171
22,East Troy town,2020,-0.6349239915068537
23,Troy town,2020,-0.6947276821490402
24,La Grange town,2020,-0.7415962273175432
25,Lyons town,2020,-0.8835144888039522
26,Lafayette town,2020,-0.8861337571381456
27,Sugar Creek town,2020,-0.9099454197667444
28,Mukwonago village,2020,-1.288199215286833
29,Burlington city,2020,-1.5280683577749596
30,Whitewater city,2019,0.8880496173832391
31,Delavan city,2019,0.77831561503571
32,Sharon village,2019,0.620900353191685
33,Bloomfield town,2019,0.4557439223284045
34,Darien town,2019,0.3749742248182542
35,Walworth village,2019,0.2944985989132323
36,Lake Geneva city,2019,0.2590814853461048
37,Elkhorn city,2019,0.1024555162063303
38,Williams Bay village,2019,0.1010624507605214
39,Bloomfield village,2019,0.0934141410226654
40,Linn town,2019,0.0033068417841406
41,Delavan town,2019,-0.1396163509859579
42,Walworth town,2019,-0.1509809085601224
43,Troy town,2019,-0.2174007789444724
44,Geneva town,2019,-0.3062620675931939
45,Genoa City village,2019,-0.3222394768785092
46,Darien village,2019,-0.3584727816621463
47,Sharon town,2019,-0.4525842384165337
48,Richmond town,2019,-0.4579887966379471
49,East Troy town,2019,-0.4856197126632618
50,Whitewater town,2019,-0.5072728504643639
51,East Troy village,2019,-0.5222837026251597
52,La Grange town,2019,-0.5839595474093825
53,Fontana-on-Geneva Lake village,2019,-0.6087579459245737
54,Sugar Creek town,2019,-0.611586443830055
55,Spring Prairie town,2019,-0.6777163121052349
56,Lyons town,2019,-0.7468681783420281
57,Lafayette town,2019,-0.8444141919990749
58,Mukwonago village,2019,-1.2948653512366664
59,Burlington city,2019,-1.5280683577749596
60,Whitewater city,2018,1.209768948083212
61,Delavan city,2018,1.038767476471328
62,Walworth village,2018,0.739617204964723
