Municipality,Year,No health insurance coverage,Unemployed,No vehicles available,Child,Foreign born,"Speak English less than ""very well""",Median age (years),"Less than $25,000",Less than 12th grade,Without a broadband Internet subscription,Weighted Mean
Bloomfield town,2020,1.4006940299291142,0.2719141884615956,-0.8566183960279286,0.6920083986017792,1.4345347980239294,0.9720369835629683,-0.5555990917008213,0.9394668647146095,1.3330036430486316,-0.8152336780050609,0.764181239309663
Whitewater city,2020,-0.06271764313115437,-0.1707368160107693,0.8966941104619833,-1.174509667351644,-0.0831090689031496,-0.42227836171178146,-1.7113373543265795,2.246010186503139,-0.47819469294124173,-0.7432609738089863,0.7094106901628263
Delavan city,2020,0.9128901389090245,-0.1707368160107693,1.247356611759966,-0.2412506343749324,1.181594153536083,1.5297631216728678,-0.30474117423166414,0.8206901990974707,1.3330036430486323,-1.0071608891945931,0.600214904441493
Darien town,2020,1.156792084419069,-1.0560388249554986,-0.5059558947299462,1.0919765555917982,0.6757128645603898,1.8086261907278183,0.2328115060593862,0.2268068710117753,1.3330036430486323,-0.9351881849985184,0.41387599156930804
Walworth village,2020,-0.06271764313115437,-0.613387820483134,0.5460316091640011,0.6920083986017792,1.6874754425117755,1.2509000526179181,0.0625864906338864,0.7019135334803317,0.7292708643853405,-0.8872063822011352,0.3373252547037301
Sharon village,2020,0.9128901389090245,-0.613387820483134,-0.15529339343196383,1.0919765555917982,2.6992380204631616,2.0874892597827674,-0.5466398803626371,-0.010746460222502772,2.7417134599296444,-1.0551426919919762,0.3292455492611858
Lake Geneva city,2020,-0.30661958864119937,0.2719141884615956,0.19536910786601863,-0.10792791537825921,0.9286535090482362,0.41431084545306834,0.2865667740884907,0.5831368678631925,-0.27695043338681113,-0.95917908639721,0.20018300928016003
Bloomfield village,2020,-0.06271764313115437,0.2719141884615956,-0.5059558947299462,1.625267431578491,-0.5889903578788427,-0.42227836171178146,-0.46600697831897964,0.46436020224605334,1.3330036430486323,-0.8392245794037525,0.19118657904222972
Elkhorn city,2020,0.18118430237889027,-0.613387820483134,0.5460316091640011,0.2920402416117596,0.42277222007254345,0.41431084545306834,-0.2599451175407433,0.46436020224605334,0.7292708643853408,-0.8392245794037525,0.18237544072241832
Walworth town,2020,-1.0383254251713336,-0.613387820483134,1.5980191130579482,0.5586856796051061,-0.33604971339099615,-0.42227836171178146,0.5732615369103845,0.8206901990974707,1.5342479026030622,-0.7672518752076778,0.042861488473888584
Linn town,2020,0.9128901389090245,-0.1707368160107693,-0.8566183960279286,-0.6412187913649516,2.193356731487469,0.6931739145080181,0.7524457636740679,-0.6046297883081985,-0.07570617383238087,-1.0791335933906676,-0.07976506561632847
Williams Bay village,2020,-0.5505215341512439,-0.613387820483134,0.19536910786601863,0.025394803618413977,-0.5889903578788427,-0.7011414307667313,0.6897312843067784,0.46436020224605334,-1.4844159907133936,-1.0071608891945931,-0.08805313857082721
Genoa City village,2020,-0.30661958864119937,-0.1707368160107693,-0.15529339343196383,0.8253311175984525,0.42277222007254345,1.2509000526179181,-0.663109627759031,-0.6046297883081985,0.1255380857220497,-1.0791335933906676,-0.21676475966991537
Delavan town,2020,-0.5505215341512439,-0.613387820483134,0.8966941104619833,-0.10792791537825921,-0.33604971339099615,-0.42227836171178146,0.8599562997322783,-0.12952312583964196,0.5280266048309102,-0.8392245794037525,-0.2803717330254323
Geneva town,2020,0.4250862478889349,-1.0560388249554986,-0.8566183960279286,-0.10792791537825921,0.6757128645603898,0.6931739145080181,0.295525985426675,-0.8421831195424766,-0.679438952495672,-0.9351881849985184,-0.33885395855453637
Darien village,2020,-0.06271764313115437,0.7145651929339605,-1.207280897325911,0.5586856796051061,-0.0831090689031496,-0.42227836171178146,-0.3943332876135059,-0.8421831195424766,-0.27695043338681113,-0.9351881849985184,-0.35447269331620346
Richmond town,2020,-0.7944234796612888,-0.613387820483134,-1.207280897325911,0.15871752261508718,-0.0831090689031496,-0.7011414307667313,0.5822207482485687,-0.4858531226910594,-0.679438952495672,-0.6952791710116032,-0.5084353465617816
Sharon town,2020,-1.2822273706813783,-0.613387820483134,-0.15529339343196383,-0.37457335337160563,-0.0831090689031496,-0.1434152926568316,1.137691851215987,-0.36707645707392017,-0.07570617383238087,-0.7672518752076778,-0.5098467266188043
Fontana-on-Geneva Lake village,2020,-0.5505215341512439,-1.0560388249554986,0.19536910786601863,-1.174509667351644,0.6757128645603898,-0.42227836171178146,1.5139787274197225,-0.4858531226910594,-0.8806832120501025,-1.1750971989854335,-0.5339243522631997
Whitewater town,2020,0.4250862478889349,-0.613387820483134,0.19536910786601863,-0.37457335337160563,0.16983157558469675,-0.1434152926568316,0.9226707790995671,-1.317289782011033,-0.27695043338681113,-0.95917908639721,-0.559159489868412
East Troy village,2020,-1.2822273706813783,-1.0560388249554986,-0.5059558947299462,-0.2412506343749324,-0.8419310023666893,-0.7011414307667313,0.0894641246484393,-0.24829979145678116,-0.679438952495672,-0.8632154808024437,-0.5870769985044105
Spring Prairie town,2020,-0.5505215341512439,-1.4986898294278637,-1.207280897325911,-0.2412506343749324,-0.8419310023666893,-0.9800044998216814,0.45679178951399046,-0.4858531226910594,-0.679438952495672,-1.0311517905932845,-0.6159720832630171
East Troy town,2020,-1.0383254251713336,-1.0560388249554986,0.5460316091640011,0.15871752261508718,-0.8419310023666893,-0.9800044998216814,0.3224036194412279,-0.48585312269105957,-0.8806832120501025,-1.0311517905932845,-0.6349239915068537
Troy town,2020,-0.7944234796612888,-1.0560388249554986,-0.15529339343196383,-0.10792791537825921,-1.0948716468545356,-0.9800044998216814,0.5015878462049114,-0.7234064539253376,-0.47819469294124173,-0.9831699877959015,-0.6947276821490402
La Grange town,2020,-0.5505215341512439,-1.0560388249554986,-0.5059558947299462,-0.2412506343749324,-0.5889903578788427,-0.42227836171178146,0.9405892017759356,-1.0797364507767548,-0.2769504333868114,-1.151106297586742,-0.7415962273175432
Lyons town,2020,-1.5261293161914231,-0.1707368160107693,-0.15529339343196383,0.025394803618413977,-1.3478122913423822,-0.9800044998216814,0.5911799595867531,-1.0797364507767548,-1.0819274716045328,-0.8872063822011352,-0.8835144888039522
Lafayette town,2020,-1.2822273706813783,-0.613387820483134,-0.5059558947299462,0.15871752261508718,-0.8419310023666893,-0.9800044998216814,0.3313628307794116,-1.0797364507767548,-0.8806832120501025,-1.0071608891945931,-0.8861337571381456
Sugar Creek town,2020,-0.5505215341512439,-0.613387820483134,-0.8566183960279286,-0.7745415103616249,-1.0948716468545356,-0.9800044998216814,1.0839365831868826,-1.4360664476281721,-0.679438952495672,-0.8632154808024437,-0.9099454197667443
Mukwonago village,2020,-1.770031261701468,-1.4986898294278637,-1.207280897325911,2.4252037455585294,-1.3478122913423822,-0.9800044998216814,-0.6899872617735839,-1.7923964444795895,-1.685660250267824,-1.2950517059788913,-1.2881992152868327
Burlington city,2020,-1.770031261701468,-1.4986898294278637,-1.207280897325911,-3.574318609291759,-1.3478122913423822,-0.9800044998216814,-3.6823638487270975,-1.7923964444795895,-1.685660250267824,1.1040384338902616,-1.5280683577749596
Whitewater city,2019,-0.06271764313115437,0.2719141884615956,1.9486816143559305,-1.5744778243416633,-0.33604971339099615,-0.42227836171178146,-1.7202965656647637,2.6023401833545567,-0.27695043338681113,-0.7192700724102947,0.8880496173832391
Delavan city,2019,1.156792084419069,-0.1707368160107693,3.0006691182498777,0.15871752261508718,1.940416086999622,2.366352328837718,-0.448088555642611,0.8206901990974707,2.1379806812663533,-0.8392245794037525,0.77831561503571
Sharon village,2019,0.4250862478889349,0.7145651929339605,-0.15529339343196383,0.5586856796051061,1.181594153536083,1.5297631216728678,-0.3674556535989536,0.820690199097471,3.3454462385929356,-1.0071608891945931,0.620900353191685
Bloomfield town,2019,1.156792084419069,-0.1707368160107693,-0.8566183960279286,0.8253311175984525,1.181594153536083,0.6931739145080181,-0.19723063817345446,0.46436020224605334,0.7292708643853408,-1.0071608891945931,0.45574392232840455
Darien town,2019,2.1323998664592483,-0.613387820483134,-0.8566183960279286,0.9586538365951256,1.6874754425117755,2.924078466947618,0.17905623803028103,-0.7234064539253376,1.1317593834942017,-0.9111972835998269,0.3749742248182542
